               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10634,            0.021268,             0.03224,             0.85311,              0.2004,             0.22131,             0.08982,            0.089019,            0.030165,            0.022201,            0.070004,           0.0033329,           0.0033329
                   1,            0.085545,            0.022469,            0.020198,              0.4287,             0.30621,             0.30535,              0.1419,            0.081672,             0.03021,            0.019224,            0.039769,           0.0064305,           0.0064305
                   2,             0.08039,            0.022553,            0.017747,              0.6215,             0.34975,             0.37885,             0.18062,            0.077389,            0.030556,            0.016901,           0.0092971,           0.0092924,           0.0092924
                   3,            0.074617,            0.022494,            0.015706,              0.6541,             0.38931,             0.41544,             0.20749,            0.073334,            0.030301,            0.015566,           0.0089393,           0.0089393,           0.0089393
                   4,            0.070211,            0.022513,             0.01458,             0.67915,             0.40446,             0.43462,             0.22507,            0.071443,            0.029583,            0.014923,           0.0089393,           0.0089393,           0.0089393
                   5,            0.067403,            0.022325,            0.013792,              0.6871,             0.41313,              0.4443,             0.23604,            0.069374,            0.029283,            0.014409,           0.0085857,           0.0085857,           0.0085857
                   6,            0.065011,            0.022015,            0.013114,             0.69712,             0.42012,             0.45465,             0.24027,            0.068085,            0.029557,             0.01419,           0.0082321,           0.0082321,           0.0082321
                   7,            0.063343,            0.021965,            0.012608,             0.69692,             0.42912,             0.46483,              0.2498,            0.067165,            0.029177,            0.014267,           0.0078786,           0.0078786,           0.0078786
                   8,            0.061648,            0.021557,            0.012013,              0.6903,             0.43526,             0.46672,             0.25578,            0.066328,            0.029242,            0.014225,            0.007525,            0.007525,            0.007525
                   9,            0.060486,            0.021445,            0.011689,             0.71035,              0.4382,             0.47588,             0.26306,            0.065519,            0.029181,            0.013914,           0.0071714,           0.0071714,           0.0071714
                  10,            0.059684,            0.021274,            0.011379,             0.71723,              0.4425,             0.48011,              0.2667,            0.065123,            0.029045,            0.013817,           0.0068179,           0.0068179,           0.0068179
                  11,            0.058635,             0.02117,            0.010896,             0.70798,             0.44264,             0.48321,             0.27098,            0.064394,            0.028937,            0.013774,           0.0064643,           0.0064643,           0.0064643
                  12,            0.057806,            0.020821,            0.010703,             0.72081,             0.44254,             0.48466,             0.27247,            0.064027,            0.028967,            0.013702,           0.0061107,           0.0061107,           0.0061107
                  13,            0.056902,              0.0207,             0.01037,             0.70327,             0.44601,             0.48722,             0.27598,            0.063544,            0.029064,            0.013664,           0.0057571,           0.0057571,           0.0057571
                  14,             0.05598,            0.020509,            0.010015,             0.70951,             0.44925,             0.48949,             0.27816,            0.063076,            0.028971,            0.013561,           0.0054036,           0.0054036,           0.0054036
                  15,            0.055561,             0.02037,           0.0097681,             0.72115,             0.44812,             0.49137,             0.28099,            0.062774,            0.029109,            0.013618,             0.00505,             0.00505,             0.00505
                  16,            0.054565,             0.02023,           0.0093731,             0.72107,             0.44863,             0.49432,             0.28347,            0.062419,            0.029181,            0.013597,           0.0046964,           0.0046964,           0.0046964
                  17,            0.053627,            0.019916,            0.009131,              0.7158,             0.45361,             0.49649,             0.28564,            0.062104,            0.028986,            0.013885,           0.0043429,           0.0043429,           0.0043429
                  18,            0.052976,            0.019829,           0.0088113,             0.72971,             0.45343,             0.50037,             0.28877,            0.061885,            0.029022,            0.013846,           0.0039893,           0.0039893,           0.0039893
                  19,            0.052095,            0.019607,           0.0085682,             0.72431,             0.45858,              0.5022,             0.29111,             0.06159,            0.029159,            0.013832,           0.0036357,           0.0036357,           0.0036357
                  20,             0.05175,            0.019579,           0.0082931,             0.72026,             0.45892,             0.50292,             0.29136,            0.061439,            0.029286,            0.013822,           0.0032821,           0.0032821,           0.0032821
                  21,            0.050826,            0.019185,           0.0079649,             0.72763,             0.45443,             0.50323,             0.29276,            0.061279,            0.029427,            0.013931,           0.0029286,           0.0029286,           0.0029286
                  22,            0.050268,            0.018936,           0.0076828,              0.7362,             0.45254,             0.50365,             0.29373,            0.061144,            0.029451,            0.014026,            0.002575,            0.002575,            0.002575
                  23,            0.049742,            0.018883,           0.0074584,             0.74208,             0.45096,             0.50425,             0.29547,            0.060994,            0.029493,            0.014125,           0.0022214,           0.0022214,           0.0022214
                  24,            0.049175,            0.018663,           0.0071818,             0.72729,             0.45523,             0.50563,             0.29582,              0.0609,            0.029514,            0.014153,           0.0018679,           0.0018679,           0.0018679
                  25,            0.048596,            0.018352,           0.0068803,             0.73487,             0.45138,             0.50546,             0.29626,            0.060865,            0.029577,            0.014223,           0.0015143,           0.0015143,           0.0015143
                  26,            0.048227,            0.018303,           0.0067064,             0.73822,             0.45153,             0.50627,             0.29709,            0.060802,            0.029647,            0.014298,           0.0011607,           0.0011607,           0.0011607
                  27,            0.047612,            0.017912,           0.0065212,             0.74012,             0.45117,             0.50616,             0.29734,            0.060752,            0.029723,            0.014357,          0.00080714,          0.00080714,          0.00080714
